"apt","latdeg","latmin","latsec","latdir","lngdeg","lngmin","lngsec","lngdir","state","smsa","bizstatd","bizsmsad","bizstato","bizsmsao","obsmsad","pxsmsad","obsmsao","pxsmsao","obstad","pxstad","obstao","pxstao"
"ORD",41,58,41,"N",87,54,22,"W","IL","CHI",0.611000001430511,0.602999985218048,0.382999986410141,0.41100001335144,2142,3976,1058,2045,2360,4290,1167,2298
"ATL",33,38,27,"N",84,25,38,"W","GA","ATL",0.587000012397766,0.537000000476837,0.418999999761581,0.439999997615814,1438,2268,791,1360,1735,3050,940,1655
"DFW",32,53,40,"N",97,1,47,"W","TX","DFW",0.579999983310699,0.680999994277954,0.44200000166893,0.467000007629395,1380,2231,546,950,3766,6554,1386,2735
"LAX",33,56,32,"N",118,24,26,"W","CA","LAX",0.370000004768372,0.345999985933304,0.330000013113022,0.367000013589859,2972,6337,541,995,6938,14392,1141,2176
"DEN",39,45,55,"N",104,52,46,"W","CO","DEN",0.238000005483627,0.344999998807907,0.347000002861023,0.35699999332428,1024,1913,1204,2378,1686,3634,1724,3569
"EWR",40,41,45,"N",74,10,18,"W","NY","NYC",0.425000011920929,0.495000004768372,0.405000001192093,0.397000014781952,2161,3871,1322,2581,2343,4267,851,1572
"SFO",37,37,10,"N",122,22,22,"W","CA","SFO",0.370000004768372,0.462999999523163,0.330000013113022,0.244000002741814,2293,4431,325,664,6938,14392,1141,2176
"LGA",40,46,46,"N",73,52,33,"W","NY","NYC",0.425000011920929,0.495000004768372,0.405000001192093,0.397000014781952,2161,3871,1322,2581,2343,4267,851,1572
"STL",38,44,50,"N",90,21,52,"W","MO","STL",0.532000005245209,0.615000009536743,0.428999990224838,0.448000013828278,543,1067,558,1149,1014,2203,930,1957
"BOS",42,21,54,"N",71,0,19,"W","MA","BOS",0.500999987125397,0.513999998569489,0.398000001907349,0.402999997138977,982,1821,1123,2204,1098,2059,1219,2364
"JFK",40,38,19,"N",73,46,37,"W","NY","NYC",0.425000011920929,0.495000004768372,0.405000001192093,0.397000014781952,2161,3871,1322,2581,2343,4267,851,1572
"MIA",25,47,33,"N",80,17,10,"W","FL","MIA",0.236000001430511,0.319000005722046,0.386000007390976,0.212999999523163,1348,2891,399,791,5086,12354,1366,2747
"DTW",42,13,7,"N",83,20,55,"W","MI","DTW",0.435999989509583,0.407999992370605,0.472000002861023,0.505999982357025,606,977,534,1095,947,1559,844,1704
"MSP",44,53,10,"N",93,13,4,"W","MN","MSP",0.442999988794327,0.490000009536743,0.453999996185303,0.497000008821487,670,1236,712,1276,826,1517,856,1587
"PHX",33,26,7,"N",112,0,43,"W","AZ","PHX",0.284000009298325,0.328999996185303,0.308999985456467,0.33500000834465,1447,3429,1194,2267,1964,4576,1580,2977
"PIT",40,29,48,"N",80,14,9,"W","PA","PIT",0.460999995470047,0.526000022888184,0.379000008106232,0.412999987602234,413,639,279,552,1312,2026,878,1792
"HNL",21,19,33,"N",157,55,18,"W","HI","HNL",0.151999995112419,0.175999999046326,0.245000004768372,0.237000003457069,1268,3212,1844,5454,2726,7703,3117,8732
"DCA",38,51,6,"N",77,2,13,"W","DC","WAS",0.458000004291534,0.458999991416931,0.46399998664856,0.46399998664856,2337,4620,3372,6066,1636,3492,1874,3064
"SEA",47,26,57,"N",122,18,29,"W","WA","SEA",0.305000007152557,0.340999990701675,0.28600001335144,0.312999993562698,1229,2149,930,1831,1726,3148,1474,3135
"IAH",29,59,0,"N",95,20,24,"W","TX","HOU",0.579999983310699,0.653999984264374,0.44200000166893,0.405000001192093,931,1615,319,655,3766,6554,1386,2735
"CLT",35,13,9,"N",80,56,9,"W","NC","CLT",0.448000013828278,0.46900001168251,0.52700001001358,0.527999997138977,187,304,150,231,872,1532,604,1095
"MCO",28,25,55,"N",81,19,29,"W","FL","ORL",0.236000001430511,0.196999996900558,0.386000007390976,0.398000001907349,1407,4465,131,190,5086,12354,1366,2747
"PHL",39,52,5,"N",75,14,55,"W","PA","PHL",0.460999995470047,0.388999998569489,0.379000008106232,0.374000012874603,789,1354,1305,2603,1312,2026,878,1792
